CandidateID,ApplicationDate,Position,Source,Status,InterviewDate,OfferDate,HiredDate,RejectedDate,Recruiter,TimeToHire,OfferAccepted,HireCost,PerformanceRating,CandidateNPS,RecruitmentSiteVisits,SocialMentions
acc0fb16-2f91-49f8-b8d2-05b5f6edfc3d,02-03-2024,Product Manager,Referral,Offer Made,04-12-2024,4/19/2024,,,John Doe,,No,,,7,4766,119
3e4f454d-372f-45a5-812d-73602a516f5e,07-01-2024,Data Analyst,Company Website,Under Review,,,,,Jane Smith,,No,,,6,2233,382
b10ffcc5-f5c9-4eba-b430-8311d3973972,2/21/2024,Data Analyst,LinkedIn,Offer Made,04-06-2024,6/24/2024,,,Michael Johnson,,No,,,5,1102,94
e0cbc1fd-0c35-47bf-990f-9ac7fddd77a4,03-03-2024,Product Manager,Company Website,Offer Made,3/20/2024,07-05-2024,,,Emily Brown,,No,,,10,248,365
110cb9ac-6857-4327-9204-f3eb5b3f408e,4/24/2024,Data Analyst,LinkedIn,Under Review,,,,,Emily Brown,,No,,,6,3250,323
c46d3a1a-5596-4a97-9ea3-39bce267881d,02-01-2024,Business Analyst,Referral,Application Received,,,,,John Doe,,No,,,1,8488,327
716f0778-b5dc-4fe7-91b0-cf8034ffd982,03-06-2024,Software Engineer,Referral,Application Received,,,,,John Doe,,No,,,3,5184,30
07eef550-90c4-4731-8ffc-3c3fd5c69f8b,07-05-2024,UX Designer,Indeed,Interview Scheduled,07-12-2024,,,,Emily Brown,,No,,,3,1210,223
d62103c8-16f5-4950-bfeb-c80c40898443,5/22/2024,Business Analyst,Referral,Offer Made,6/28/2024,6/29/2024,,,Emily Brown,,No,,,6,4634,50
8e047f65-9ebb-41a6-9a36-b3059d0d1002,2/28/2024,Business Analyst,CareerBuilder,Offer Made,5/31/2024,07-10-2024,,,Jane Smith,,No,,,2,8651,401
a74a1dd9-087e-4bed-9ced-3864ca186d82,06-04-2024,Software Engineer,Company Website,Application Received,,,,,Emily Brown,,No,,,0,1372,139
fa201eb3-a4cc-4ad0-818d-5b63518ccaeb,05-10-2024,Data Analyst,CareerBuilder,Interview Scheduled,5/19/2024,,,,Jane Smith,,No,,,7,2186,198
44f39c3e-d4fb-4a64-9065-4d61aa8230bf,2/14/2024,Data Analyst,Referral,Interview Scheduled,03-07-2024,,,,Jane Smith,,No,,,1,6658,140
9c12c68a-a682-464c-9102-974da1bc17c6,02-04-2024,Data Analyst,Company Website,Offer Made,7/14/2024,7/14/2024,,,Jane Smith,,No,,,0,1946,64
a2e82762-ede0-4002-9702-22e6b419643a,01-05-2024,Software Engineer,Company Website,Interview Scheduled,3/22/2024,,,,Jane Smith,,No,,,9,9838,401
650fff1e-8473-4ad1-a734-05641865b600,01-01-2024,Business Analyst,Company Website,Under Review,,,,,Jane Smith,,No,,,5,3024,479
8b346c6e-0ce8-4e88-b7e7-6541a48dfd3d,06-05-2024,Business Analyst,Company Website,Interview Scheduled,6/14/2024,,,,Michael Johnson,,No,,,9,7951,333
d0082c00-0a44-4da1-bb64-4afd6e3c0525,05-04-2024,Business Analyst,LinkedIn,Under Review,,,,,Emily Brown,,No,,,2,6243,371
5bca9949-e3e8-4c04-a12c-2ec41559e11f,03-01-2024,Product Manager,LinkedIn,Application Received,,,,,Michael Johnson,,No,,,7,4604,323
3fde4314-a0b2-4479-b00b-ed19a2afd755,6/24/2024,UX Designer,Company Website,Interview Scheduled,07-08-2024,,,,Jane Smith,,No,,,7,6351,91
a5bd2a1b-822e-4753-a3dc-6cb773a13692,4/24/2024,Software Engineer,LinkedIn,Offer Made,6/20/2024,7/13/2024,,,Jane Smith,,No,,,5,6364,263
1fac5b94-a7b8-4334-a503-7e8645289b23,01-06-2024,Software Engineer,CareerBuilder,Rejected,4/23/2024,,,5/26/2024,John Doe,,No,,,7,2779,475
9ba40afb-14a3-4be3-b067-a0691f538315,6/17/2024,Product Manager,Indeed,Interview Scheduled,6/23/2024,,,,John Doe,,No,,,6,4299,63
5ca76b53-7011-4a34-a2e4-ae7244ab48a5,2/28/2024,Data Analyst,CareerBuilder,Application Received,,,,,John Doe,,No,,,6,9333,298
fb0f7d56-1163-4a6f-a15c-01b7cc0dbe5b,5/17/2024,Product Manager,CareerBuilder,Offer Made,6/17/2024,07-11-2024,,,John Doe,,No,,,4,7978,399
65632d53-f048-4800-a1be-635a93c00782,1/16/2024,UX Designer,Company Website,Under Review,,,,,Michael Johnson,,No,,,10,160,21
711c5ee2-45fc-407b-a009-0c788374b655,1/20/2024,Software Engineer,Referral,Offer Made,6/29/2024,07-02-2024,,,Jane Smith,,No,,,0,1252,233
762ae16b-f6c6-49be-9e1d-1e0686f1675e,1/18/2024,Software Engineer,Referral,Application Received,,,,,Emily Brown,,No,,,5,5997,11
e843ac72-77d9-4e6f-bdc4-3c3875948e56,1/29/2024,UX Designer,Indeed,Interview Scheduled,3/23/2024,,,,Emily Brown,,No,,,1,8672,234
8b1ce215-d163-4f0b-ae15-0e7d08666108,4/17/2024,Data Analyst,Indeed,Offer Made,4/30/2024,6/26/2024,,,Jane Smith,,No,,,6,574,107
efab7277-8b02-492d-baba-e590b50cf3b9,1/29/2024,Business Analyst,CareerBuilder,Rejected,3/22/2024,,,04-04-2024,Michael Johnson,,No,,,6,3666,220
7a78445d-f53c-443a-bb8a-505daed1334a,4/16/2024,UX Designer,Indeed,Under Review,,,,,John Doe,,No,,,10,340,139
f24580af-b053-42a2-8507-3da6fbf41b24,05-07-2024,UX Designer,Indeed,Offer Made,06-08-2024,6/28/2024,,,Emily Brown,,No,,,2,7779,383
7efe9471-7612-4d97-9fda-3090eb289f15,03-05-2024,Business Analyst,CareerBuilder,Under Review,,,,,John Doe,,No,,,0,1326,63
8a02babd-3879-4702-bec7-ddaf8dc3f9af,04-06-2024,UX Designer,Referral,Application Received,,,,,Emily Brown,,No,,,5,1764,227
cd991c2c-21ce-4dbe-9838-f8b0874bd1c9,03-06-2024,UX Designer,Referral,Hired,5/26/2024,6/27/2024,7/13/2024,,John Doe,129,Yes,1885.79,1,5,4224,145
6e3bdf65-8d79-4408-ba46-0aa47675c316,3/14/2024,Data Analyst,Company Website,Under Review,,,,,Emily Brown,,No,,,0,343,144
43ffb516-48ba-4357-b5c8-a9da99fd113c,3/26/2024,Business Analyst,LinkedIn,Interview Scheduled,4/22/2024,,,,Emily Brown,,No,,,1,1876,59
e3d09fcf-6fd1-4c57-83af-67e1afa1363f,06-11-2024,UX Designer,Indeed,Application Received,,,,,Jane Smith,,No,,,8,1565,462
